Project,Bug ID,top-1,top-5,top-inf,#P-F,#P-L,#C,#I
Chart,1,0,0,0,0,0,0,6
Chart,8,0,0,0,0,0,0,0
Chart,9,0,0,0,0,0,0,0
Chart,24,0,0,0,0,0,0,0
Chart,11,0,0,0,0,0,0,0
Math,41,0,0,0,0,0,0,0
Math,75,0,0,0,0,0,0,0
Math,70,1,1,1,1,1,1,0
Math,30,0,0,0,0,0,0,0
Math,59,0,0,0,0,0,0,0
Math,57,1,1,1,1,1,1,3
Math,11,0,0,0,0,0,0,1
Math,50,0,0,0,0,0,0,1
Closure,73,0,0,0,0,0,0,0
Closure,128,1,1,1,1,1,1,0
Closure,46,0,0,0,0,0,0,1
Closure,115,0,0,0,0,0,0,0
Closure,86,0,0,0,0,0,0,3
Lang,39,1,1,1,1,6,3,4
Lang,59,0,0,0,0,0,0,0
Lang,33,1,1,1,1,1,1,0
Mockito,22,0,0,0,0,0,0,0
