Project,Bug ID,top-1,top-5,top-inf,#P-F,#P-L,#C,#I
Chart,1,0,0,0,0,0,0,0
Chart,8,0,1,1,2,2,1,1
Chart,9,0,1,1,2,2,1,2
Chart,24,0,1,1,4,5,2,17
Chart,11,1,1,1,1,2,2,0
Math,41,0,0,0,0,0,0,0
Math,75,1,1,1,1,7,5,2
Math,70,1,1,1,1,2,2,3
Math,30,0,0,0,0,0,0,0
Math,59,1,1,1,1,1,1,0
Math,57,1,1,1,1,1,1,5
Math,11,1,1,1,1,2,2,2
Math,50,0,0,1,192,192,1,197
Closure,73,0,0,0,0,0,0,0
Closure,128,1,1,1,1,1,1,0
Closure,46,0,0,0,0,0,0,0
Closure,115,0,0,1,20,21,2,19
Closure,86,0,0,1,7,7,1,7
Lang,39,0,0,0,0,0,0,0
Lang,59,1,1,1,1,1,1,0
Lang,33,1,1,1,1,1,1,0
Mockito,22,0,0,0,0,0,0,0
