Project,Bug ID,top-1,top-5,top-inf,#P-F,#P-L,#C,#I
Chart,1,1,1,1,1,3,2,5
Chart,8,0,1,1,2,2,1,1
Chart,9,0,1,1,2,2,1,2
Chart,24,0,1,1,4,5,2,17
Chart,11,1,1,1,1,4,4,0
Math,41,1,1,1,1,1,1,0
Math,75,1,1,1,1,7,5,2
Math,70,1,1,1,1,2,2,2
Math,30,1,1,1,1,1,1,5
Math,59,1,1,1,1,1,1,0
Math,57,1,1,1,1,1,1,5
Math,11,1,1,1,1,2,2,2
Math,50,0,0,1,192,192,1,197
Closure,73,1,1,1,1,4,4,0
Closure,128,1,1,1,1,1,1,0
Closure,46,0,0,1,7,7,1,9
Closure,115,0,0,1,13,13,1,12
Closure,86,0,0,1,6,6,1,6
Lang,39,1,1,1,1,62,29,33
Lang,59,1,1,1,1,1,1,0
Lang,33,1,1,1,1,1,1,0
Mockito,22,1,1,1,1,1,1,0
