Project,Bug ID,top-1,top-5,top-inf,#P-F,#P-L,#C,#I
Chart,1,0,0,1,14,15,2,19
Chart,8,1,1,1,1,1,1,1
Chart,9,1,1,1,1,1,1,2
Chart,24,0,1,1,2,7,2,17
Chart,11,1,1,1,1,4,4,0
Math,41,1,1,1,1,1,1,0
Math,75,0,1,1,2,6,5,2
Math,70,1,1,1,1,4,2,3
Math,30,0,0,1,6,6,1,5
Math,59,1,1,1,1,1,1,0
Math,57,1,1,1,1,1,1,5
Math,11,0,1,1,2,3,2,2
Math,50,0,0,1,77,77,1,197
Closure,73,1,1,1,1,4,4,0
Closure,128,1,1,1,1,1,1,0
Closure,46,1,1,1,1,1,1,9
Closure,115,0,0,1,8,20,2,19
Closure,86,0,1,1,3,3,1,7
Lang,39,1,1,1,1,82,31,51
Lang,59,0,1,1,2,2,1,3
Lang,33,1,1,1,1,1,1,0
Mockito,22,1,1,1,1,1,1,0
