Project,Bug ID,top-1,top-5,top-inf,#P-F,#P-L,#C,#I
Chart,9,0,0,0,0,0,0,0
Chart,13,0,0,0,0,0,0,0
Math,82,0,0,0,0,0,0,0
Math,63,0,0,0,0,0,0,3
Math,96,0,0,0,0,0,0,1
Math,32,0,0,0,0,0,0,3
Math,80,0,0,0,0,0,0,0
Math,85,0,0,0,0,0,0,0
Math,59,0,0,0,0,0,0,0
Math,57,1,1,1,1,5,5,0
Closure,62,0,0,0,0,0,0,0
Closure,92,0,0,0,0,0,0,0
Closure,73,0,0,0,0,0,0,0
Closure,70,0,0,0,0,0,0,0
Closure,18,0,0,0,0,0,0,0
Closure,38,0,0,0,0,0,0,0
Lang,57,0,0,0,0,0,0,0
Lang,29,0,0,0,0,0,0,0
Time,19,0,0,0,0,0,0,0
