Project,Bug ID,top-1,top-5,top-inf,#P-F,#P-L,#C,#I
Chart,9,0,0,0,0,0,0,1
Chart,13,0,0,0,0,0,0,14
Math,82,0,1,1,2,7,5,2
Math,63,0,0,0,0,0,0,4
Math,96,0,0,0,0,0,0,1
Math,32,0,0,0,0,0,0,3
Math,80,0,0,0,0,0,0,2
Math,85,0,1,1,5,32,8,35
Math,59,0,1,1,2,2,1,1
Math,57,1,1,1,1,5,5,0
Closure,62,0,0,0,0,0,0,2
Closure,92,0,0,0,0,0,0,1
Closure,73,0,1,1,2,2,1,2
Closure,70,1,1,1,1,1,1,0
Closure,18,0,1,1,2,2,1,1
Closure,38,0,0,0,0,0,0,1
Lang,57,1,1,1,1,1,1,0
Lang,29,1,1,1,1,4,4,0
Time,19,1,1,1,1,11,11,0
