Project,Bug ID,top-1,top-5,top-inf,#P-F,#P-L,#C,#I
Chart,1,0,1,1,4,10,2,11
Chart,8,0,0,0,0,0,0,1
Chart,24,0,0,0,0,0,0,1
Chart,11,1,1,1,1,1,1,0
Chart,13,0,0,0,0,0,0,19
Math,82,0,1,1,2,3,2,4
Math,63,0,0,0,0,0,0,3
Math,41,1,1,1,1,1,1,0
Math,32,0,0,0,0,0,0,7
Math,75,1,1,1,1,4,3,1
Math,2,0,0,0,0,0,0,2
Math,70,1,1,1,1,1,1,0
Math,80,0,0,0,0,0,0,10
Math,104,0,0,0,0,0,0,4
Math,85,0,1,1,4,4,1,29
Math,30,1,1,1,1,1,1,0
Math,57,0,0,0,0,0,0,1
Closure,62,1,1,1,1,1,1,9
Closure,92,1,1,1,1,1,1,0
Closure,125,0,0,0,0,0,0,1
Closure,10,0,0,0,0,0,0,2
Closure,73,1,1,1,1,2,2,0
Closure,18,1,1,1,1,2,2,0
Closure,38,0,0,0,0,0,0,3
Closure,86,0,1,1,3,3,1,15
Lang,6,0,1,1,2,2,1,1
Lang,59,1,1,1,1,1,1,0
Lang,29,1,1,1,1,2,2,0
Mockito,26,1,1,1,1,1,1,0
Time,19,1,1,1,1,9,3,8
