APR,top-1(Δ),top-5(Δ),top-inf(Δ),#C(Δ),#I(Δ),#P-F(Δ),#P-L(Δ)
selfapr,12 (-17),13 (-19),13 (-20),70 (-154),56 (-119),14 (-40),87 (-204)
ar_gen,6 (-8),7 (-11),7 (-15),12 (-55),32 (-310),8 (-242),18 (-330)
tbar_gen,13 (-16),14 (-19),15 (-22),15 (-36),46 (-232),29 (-113),29 (-190)
simfix,3 (-11),3 (-12),3 (-12),3 (-12),1 (-21),3 (-13),3 (-13)
cure,2 (-11),3 (-15),3 (-15),4 (-23),33 (-99),4 (-24),5 (-44)
edits,0 (-2),0 (-2),0 (-2),0 (-2),0 (-8),0 (-2),0 (-2)
sequencer,3 (-10),3 (-13),4 (-13),4 (-21),22 (-66),9 (-20),9 (-49)
recoder,7 (-21),9 (-20),9 (-21),9 (-24),24 (-39),13 (-24),13 (-31)
coconut,3 (-6),4 (-6),4 (-6),11 (-27),10 (-60),5 (-6),12 (-60)
reward_repair,9 (-16),11 (-17),11 (-18),32 (-75),53 (-117),15 (-25),37 (-142)
