APR,top-1(Δ),top-5(Δ),top-inf(Δ),#C(Δ),#I(Δ),#P-F(Δ),#P-L(Δ)
selfapr,29 (0),32 (0),33 (0),224 (0),175 (0),54 (0),291 (0)
ar_gen,14 (0),18 (0),22 (0),67 (0),342 (0),250 (0),348 (0)
tbar_gen,29 (0),33 (0),37 (0),51 (0),278 (0),142 (0),219 (0)
simfix,14 (0),15 (0),15 (0),15 (0),22 (0),16 (0),16 (0)
cure,13 (0),18 (0),18 (0),27 (0),132 (0),28 (0),49 (0)
edits,2 (0),2 (0),2 (0),2 (0),8 (0),2 (0),2 (0)
sequencer,13 (0),16 (0),17 (0),25 (0),88 (0),29 (0),58 (0)
recoder,28 (0),29 (0),30 (0),33 (0),63 (0),37 (0),44 (0)
coconut,9 (0),10 (0),10 (0),38 (0),70 (0),11 (0),72 (0)
reward_repair,25 (0),28 (0),29 (0),107 (0),170 (0),40 (0),179 (0)
