APR,top-1(Δ),top-5(Δ),top-inf(Δ),#C(Δ),#I(Δ),#P-F(Δ),#P-L(Δ)
selfapr,22 (-7),25 (-7),26 (-7),144 (-80),171 (-4),47 (-7),209 (-82)
ar_gen,9 (-5),12 (-6),15 (-7),24 (-43),255 (-87),236 (-14),247 (-101)
tbar_gen,22 (-7),26 (-7),28 (-9),36 (-15),195 (-83),84 (-58),153 (-66)
simfix,12 (-2),12 (-3),12 (-3),12 (-3),20 (-2),12 (-4),12 (-4)
cure,9 (-4),12 (-6),12 (-6),19 (-8),118 (-14),18 (-10),32 (-17)
edits,2 (0),2 (0),2 (0),2 (0),8 (0),2 (0),2 (0)
sequencer,6 (-7),9 (-7),10 (-7),15 (-10),79 (-9),22 (-7),47 (-11)
recoder,19 (-9),20 (-9),21 (-9),22 (-11),57 (-6),28 (-9),33 (-11)
coconut,8 (-1),8 (-2),8 (-2),36 (-2),64 (-6),8 (-3),69 (-3)
reward_repair,18 (-7),21 (-7),22 (-7),82 (-25),158 (-12),33 (-7),143 (-36)
