APR,top-1(Δ),top-5(Δ),top-inf(Δ),#C(Δ),#I(Δ),#P-F(Δ),#P-L(Δ)
selfapr,29 (0),32 (0),33 (0),224 (0),165 (-10),54 (0),285 (-6)
ar_gen,15 (+1),18 (0),22 (0),64 (-3),298 (-44),241 (-9),319 (-29)
tbar_gen,32 (+3),34 (+1),37 (0),49 (-2),191 (-87),96 (-46),166 (-53)
simfix,14 (0),15 (0),15 (0),15 (0),17 (-5),16 (0),16 (0)
cure,15 (+2),18 (0),18 (0),27 (0),91 (-41),21 (-7),38 (-11)
edits,2 (0),2 (0),2 (0),2 (0),8 (0),2 (0),2 (0)
sequencer,15 (+2),16 (0),17 (0),25 (0),55 (-33),25 (-4),39 (-19)
recoder,28 (0),29 (0),30 (0),33 (0),41 (-22),37 (0),40 (-4)
coconut,9 (0),10 (0),10 (0),37 (-1),36 (-34),11 (0),40 (-32)
reward_repair,26 (+1),29 (+1),29 (0),106 (-1),117 (-53),34 (-6),141 (-38)
