Project,Bug ID,top-1,top-5,top-inf,#P-F,#P-L,#C,#I
Chart,1,0,0,1,6,6,1,5
Chart,20,1,1,1,1,1,1,0
Chart,8,1,1,1,1,1,1,0
Chart,9,1,1,1,1,1,1,0
Chart,12,1,1,1,1,1,1,0
Chart,24,1,1,1,1,1,1,0
Chart,11,1,1,1,1,1,1,0
Chart,13,0,0,0,0,0,0,1
Math,82,0,1,1,2,2,1,1
Math,5,1,1,1,1,1,1,0
Math,63,0,0,0,0,0,0,1
Math,105,0,0,0,0,0,0,1
Math,41,1,1,1,1,1,1,0
Math,27,1,1,1,1,2,2,0
Math,32,0,0,0,0,0,0,1
Math,75,1,1,1,1,1,1,0
Math,2,0,0,0,0,0,0,1
Math,34,1,1,1,1,1,1,0
Math,70,1,1,1,1,1,1,0
Math,80,0,0,1,11,11,1,15
Math,85,0,0,1,8,14,2,15
Math,30,1,1,1,1,2,2,0
Math,57,0,1,1,2,2,1,1
Math,33,1,1,1,1,1,1,0
Math,58,1,1,1,1,1,1,0
Math,94,1,1,1,1,1,1,0
Closure,102,0,0,0,0,0,0,1
Closure,62,0,0,0,0,0,0,6
Closure,92,0,1,1,2,2,1,2
Closure,125,0,0,0,0,0,0,1
Closure,10,0,1,1,2,2,1,1
Closure,73,1,1,1,1,1,1,0
Closure,70,1,1,1,1,1,1,0
Closure,18,1,1,1,1,1,1,0
Closure,86,1,1,1,1,1,1,3
Lang,6,1,1,1,1,1,1,0
Lang,59,1,1,1,1,1,1,0
Lang,57,0,0,0,0,0,0,1
Mockito,38,0,1,1,4,4,1,5
Time,4,0,0,0,0,0,0,1
