Project,Bug ID,top-1,top-5,top-inf,#P-F,#P-L,#C,#I
Chart,1,0,0,0,0,0,0,2
Chart,8,0,0,0,0,0,0,0
Chart,9,0,0,0,0,0,0,0
Chart,12,1,1,1,1,2,2,0
Chart,11,0,0,0,0,0,0,0
Chart,13,0,0,0,0,0,0,0
Math,82,0,0,0,0,0,0,0
Math,63,0,0,0,0,0,0,1
Math,105,0,0,0,0,0,0,2
Math,41,0,0,0,0,0,0,0
Math,32,0,0,0,0,0,0,14
Math,75,0,0,0,0,0,0,1
Math,2,0,0,0,0,0,0,0
Math,70,1,1,1,1,5,5,0
Math,80,0,0,0,0,0,0,0
Math,104,0,0,0,0,0,0,0
Math,85,0,0,0,0,0,0,0
Math,30,0,0,0,0,0,0,0
Math,59,0,0,0,0,0,0,0
Math,57,0,1,1,3,4,2,4
Math,11,0,0,0,0,0,0,0
Math,94,0,0,0,0,0,0,0
Closure,62,0,0,0,0,0,0,0
Closure,92,0,0,0,0,0,0,0
Closure,125,0,0,0,0,0,0,0
Closure,10,0,0,0,0,0,0,0
Closure,73,0,0,0,0,0,0,0
Closure,70,0,0,0,0,0,0,0
Closure,18,0,0,0,0,0,0,0
Closure,38,0,0,0,0,0,0,0
Closure,86,0,0,0,0,0,0,1
Lang,6,0,0,0,0,0,0,0
Lang,21,1,1,1,1,12,12,0
Lang,59,0,0,0,0,0,0,0
Lang,57,0,0,0,0,0,0,7
Lang,33,1,1,1,1,3,3,0
Lang,29,0,0,0,0,0,0,0
Mockito,5,0,0,0,0,0,0,0
Mockito,26,0,0,0,0,0,0,0
Time,4,0,0,0,0,0,0,0
Time,19,0,0,0,0,0,0,0
