Project,Bug ID,top-1,top-5,top-inf,#P-F,#P-L,#C,#I
Chart,1,1,1,1,1,4,3,2
Chart,8,0,0,0,0,0,0,1
Chart,9,0,0,0,0,0,0,1
Chart,12,1,1,1,1,2,2,0
Chart,11,1,1,1,1,1,1,0
Chart,13,0,0,0,0,0,0,14
Math,82,1,1,1,1,7,4,10
Math,63,0,0,0,0,0,0,1
Math,105,0,0,0,0,0,0,2
Math,41,1,1,1,1,7,7,0
Math,32,0,0,0,0,0,0,5
Math,75,1,1,1,1,4,2,2
Math,2,1,1,1,1,1,1,0
Math,70,1,1,1,1,5,5,0
Math,80,0,1,1,3,7,4,3
Math,104,0,0,0,0,0,0,2
Math,85,1,1,1,1,15,10,5
Math,30,1,1,1,1,7,7,0
Math,59,1,1,1,1,4,3,1
Math,57,0,1,1,3,4,2,4
Math,11,1,1,1,1,1,1,0
Math,94,1,1,1,1,2,2,0
Closure,62,1,1,1,1,15,6,15
Closure,92,1,1,1,1,5,3,18
Closure,125,0,0,0,0,0,0,1
Closure,10,0,0,0,0,0,0,3
Closure,73,1,1,1,1,2,2,0
Closure,70,1,1,1,1,1,1,0
Closure,18,1,1,1,1,7,5,2
Closure,38,0,0,0,0,0,0,10
Closure,86,0,1,1,2,7,2,5
Lang,6,1,1,1,1,4,4,0
Lang,21,1,1,1,1,12,12,0
Lang,59,1,1,1,1,3,3,0
Lang,57,0,0,0,0,0,0,7
Lang,33,1,1,1,1,4,4,0
Lang,29,1,1,1,1,4,4,0
Mockito,5,1,1,1,1,1,1,0
Mockito,26,1,1,1,1,2,2,0
Time,4,0,0,0,0,0,0,1
Time,19,1,1,1,1,3,3,2
