Project,Bug ID,top-1,top-5,top-inf,#P-F,#P-L,#C,#I
Chart,1,0,0,0,0,0,0,0
Chart,20,0,0,0,0,0,0,0
Chart,8,0,0,0,0,0,0,0
Chart,9,0,0,0,0,0,0,0
Chart,11,1,1,1,1,2,2,0
Chart,13,0,0,0,0,0,0,0
Math,82,0,0,0,0,0,0,0
Math,5,0,0,0,0,0,0,0
Math,63,0,0,0,0,0,0,0
Math,41,0,0,0,0,0,0,0
Math,32,0,0,0,0,0,0,6
Math,75,0,0,0,0,0,0,0
Math,70,1,1,1,1,9,9,0
Math,80,0,0,0,0,0,0,0
Math,104,0,0,0,0,0,0,0
Math,85,0,0,0,0,0,0,0
Math,30,0,0,0,0,0,0,0
Math,59,0,0,0,0,0,0,0
Math,57,1,1,1,1,13,10,3
Math,11,0,0,0,0,0,0,0
Math,94,0,0,0,0,0,0,0
Closure,113,0,0,0,0,0,0,0
Closure,62,0,0,0,0,0,0,0
Closure,123,0,0,0,0,0,0,0
Closure,92,0,0,0,0,0,0,0
Closure,125,0,0,0,0,0,0,0
Closure,10,0,0,0,0,0,0,0
Closure,73,0,0,0,0,0,0,0
Closure,70,0,0,0,0,0,0,0
Closure,18,0,0,0,0,0,0,0
Closure,104,0,0,0,0,0,0,0
Closure,57,0,0,0,0,0,0,0
Closure,38,0,0,0,0,0,0,0
Closure,86,0,0,0,0,0,0,0
Lang,6,0,0,0,0,0,0,0
Lang,21,1,1,1,1,1,1,0
Lang,26,0,0,0,0,0,0,0
Lang,57,0,0,0,0,0,0,0
Lang,33,1,1,1,1,1,1,0
Mockito,5,0,0,0,0,0,0,0
Mockito,26,1,1,1,1,8,8,0
Mockito,38,0,0,0,0,0,0,0
Mockito,29,0,0,0,0,0,0,1
Time,19,0,0,0,0,0,0,0
