Project,Bug ID,top-1,top-5,top-inf,#P-F,#P-L,#C,#I
Chart,1,1,1,1,1,10,10,0
Chart,20,1,1,1,1,14,14,0
Chart,8,1,1,1,1,2,2,0
Chart,9,0,1,1,2,2,1,1
Chart,11,1,1,1,1,12,12,0
Chart,13,0,0,0,0,0,0,18
Math,82,0,0,0,0,0,0,7
Math,5,1,1,1,1,10,9,1
Math,63,0,0,0,0,0,0,2
Math,41,1,1,1,1,17,17,0
Math,32,0,0,0,0,0,0,2
Math,75,1,1,1,1,11,11,0
Math,70,1,1,1,1,9,9,0
Math,80,1,1,1,1,7,5,5
Math,104,0,0,0,0,0,0,6
Math,85,1,1,1,1,5,5,0
Math,30,1,1,1,1,10,10,0
Math,59,0,0,0,0,0,0,11
Math,57,1,1,1,1,13,10,3
Math,11,1,1,1,1,2,2,0
Math,94,1,1,1,1,1,1,0
Closure,113,1,1,1,1,1,1,0
Closure,62,0,0,0,0,0,0,11
Closure,123,1,1,1,1,12,8,4
Closure,92,0,0,1,18,18,1,23
Closure,125,0,1,1,3,3,1,5
Closure,10,0,0,0,0,0,0,1
Closure,73,1,1,1,1,15,13,2
Closure,70,1,1,1,1,10,10,0
Closure,18,0,0,0,0,0,0,9
Closure,104,1,1,1,1,1,1,0
Closure,57,1,1,1,1,6,5,1
Closure,38,0,0,0,0,0,0,8
Closure,86,1,1,1,1,24,12,12
Lang,6,1,1,1,1,8,8,0
Lang,21,1,1,1,1,1,1,1
Lang,26,1,1,1,1,1,1,0
Lang,57,1,1,1,1,6,6,0
Lang,33,1,1,1,1,2,2,0
Mockito,5,1,1,1,1,1,1,0
Mockito,26,1,1,1,1,19,19,0
Mockito,38,0,1,1,2,31,15,18
Mockito,29,1,1,1,1,1,1,1
Time,19,0,0,0,0,0,0,13
