Project,Bug ID,top-1,top-5,top-inf,#P-F,#P-L,#C,#I
Chart,1,0,1,1,4,4,1,3
Chart,9,0,0,0,0,0,0,2
Chart,11,1,1,1,1,1,1,0
Math,82,1,1,1,1,7,3,5
Math,5,1,1,1,1,1,1,0
Math,63,0,0,0,0,0,0,5
Math,32,0,0,0,0,0,0,3
Math,75,1,1,1,1,1,1,0
Math,70,1,1,1,1,1,1,1
Math,80,0,1,1,2,7,2,10
Math,85,0,0,1,7,13,2,27
Math,30,1,1,1,1,1,1,0
Math,57,0,1,1,2,2,1,2
Math,58,1,1,1,1,1,1,0
Closure,62,0,0,0,0,0,0,3
Closure,92,0,0,0,0,0,0,3
Closure,125,0,0,0,0,0,0,3
Closure,73,1,1,1,1,3,3,0
Closure,70,1,1,1,1,1,1,0
Closure,18,1,1,1,1,3,2,1
Closure,38,0,0,0,0,0,0,10
Closure,86,1,1,1,1,1,1,9
Lang,6,1,1,1,1,2,2,1
Lang,59,1,1,1,1,1,1,0
