APR,top-1(Δ),top-5(Δ),top-inf(Δ),#C(Δ),#I(Δ),#P-F(Δ),#P-L(Δ)
selfapr,27 (-2),32 (0),33 (0),224 (0),175 (0),62 (+8),299 (+8)
ar_gen,11 (-3),17 (-1),22 (0),67 (0),342 (0),140 (-110),256 (-92)
tbar_gen,25 (-4),29 (-4),37 (0),51 (0),278 (0),126 (-16),275 (+56)
simfix,15 (+1),15 (0),15 (0),15 (0),22 (0),15 (-1),15 (-1)
cure,13 (0),15 (-3),18 (0),27 (0),132 (0),50 (+22),65 (+16)
edits,2 (0),2 (0),2 (0),2 (0),8 (0),2 (0),2 (0)
sequencer,12 (-1),16 (0),17 (0),25 (0),88 (0),35 (+6),65 (+7)
recoder,22 (-6),28 (-1),30 (0),33 (0),63 (0),48 (+11),58 (+14)
coconut,5 (-4),10 (0),10 (0),38 (0),70 (0),16 (+5),74 (+2)
reward_repair,20 (-5),27 (-1),29 (0),107 (0),170 (0),61 (+21),197 (+18)
