Project,Bug ID,top-1,top-5,top-inf,#P-F,#P-L,#C,#I
Chart,1,1,1,1,1,1,1,0
Chart,20,1,1,1,1,1,1,0
Math,82,0,1,1,2,2,1,1
Math,5,1,1,1,1,1,1,0
Math,63,0,0,0,0,0,0,1
Math,41,1,1,1,1,1,1,0
Math,75,1,1,1,1,1,1,0
Math,70,1,1,1,1,1,1,0
Math,80,0,0,0,0,0,0,11
Math,85,0,0,0,0,0,0,1
Math,59,1,1,1,1,1,1,0
Math,57,1,1,1,1,1,1,0
Math,33,1,1,1,1,1,1,0
Closure,92,1,1,1,1,1,1,0
Closure,125,0,0,0,0,0,0,2
Closure,73,1,1,1,1,1,1,0
Closure,57,1,1,1,1,1,1,0
Closure,38,0,0,0,0,0,0,1
Closure,14,1,1,1,1,1,1,0
Lang,33,1,1,1,1,1,1,0
