Project,Bug ID,top-1,top-5,top-inf,#P-F,#P-L,#C,#I
Chart,1,0,0,0,0,0,0,2
Chart,20,0,0,0,0,0,0,0
Chart,8,0,0,0,0,0,0,0
Chart,9,0,0,0,0,0,0,0
Chart,4,1,1,1,1,1,1,0
Chart,26,0,1,1,4,4,1,3
Chart,12,1,1,1,1,1,1,2
Chart,24,0,0,0,0,0,0,0
Chart,11,0,0,0,0,0,0,0
Math,82,0,0,0,0,0,0,0
Math,5,0,0,0,0,0,0,0
Math,75,0,0,0,0,0,0,0
Math,4,0,0,0,0,0,0,0
Math,34,0,0,0,0,0,0,0
Math,70,1,1,1,1,1,1,0
Math,89,1,1,1,1,1,1,0
Math,80,0,0,0,0,0,0,0
Math,79,1,1,1,1,1,1,3
Math,85,0,0,0,0,0,0,0
Math,30,0,0,0,0,0,0,0
Math,57,1,1,1,1,1,1,1
Math,58,0,0,0,0,0,0,0
Math,77,0,0,0,0,0,0,0
Math,50,0,0,0,0,0,0,0
Closure,126,0,0,0,0,0,0,0
Closure,62,0,0,0,0,0,0,0
Closure,10,0,0,0,0,0,0,2
Closure,73,0,0,0,0,0,0,0
Closure,70,0,0,0,0,0,0,0
Closure,46,0,0,0,0,0,0,1
Closure,86,0,0,0,0,0,0,0
Lang,6,0,0,0,0,0,0,0
Lang,47,1,1,1,1,1,1,0
Lang,26,0,0,0,0,0,0,0
Lang,59,0,0,0,0,0,0,0
Lang,57,0,0,0,0,0,0,4
Mockito,26,0,0,0,0,0,0,0
