Project,Bug ID,top-1,top-5,top-inf,#P-F,#P-L,#C,#I
Chart,1,0,0,0,0,0,0,1
Chart,20,1,1,1,1,1,1,0
Chart,8,1,1,1,1,1,1,0
Chart,9,1,1,1,1,1,1,0
Chart,4,0,0,0,0,0,0,0
Chart,26,1,1,1,1,4,2,2
Chart,12,0,1,1,2,2,1,3
Chart,24,1,1,1,1,1,1,0
Chart,11,1,1,1,1,1,1,0
Math,82,1,1,1,1,1,1,9
Math,5,1,1,1,1,2,2,0
Math,75,1,1,1,1,1,1,0
Math,4,1,1,1,1,1,1,0
Math,34,1,1,1,1,1,1,0
Math,70,1,1,1,1,1,1,0
Math,89,1,1,1,1,1,1,0
Math,80,0,1,1,3,3,1,21
Math,79,0,0,0,0,0,0,0
Math,85,0,1,1,2,5,2,39
Math,30,0,0,0,0,0,0,0
Math,57,1,1,1,1,1,1,1
Math,58,0,0,0,0,0,0,1
Math,77,1,1,1,1,1,1,0
Math,50,0,0,1,44,98,4,94
Closure,126,0,1,1,5,13,3,10
Closure,62,1,1,1,1,1,1,4
Closure,10,0,0,1,6,6,1,5
Closure,73,0,0,0,0,0,0,0
Closure,70,0,0,0,0,0,0,0
Closure,46,0,0,0,0,0,0,0
Closure,86,1,1,1,1,1,1,0
Lang,6,0,0,0,0,0,0,0
Lang,47,1,1,1,1,1,1,0
Lang,26,1,1,1,1,1,1,0
Lang,59,1,1,1,1,1,1,0
Lang,57,1,1,1,1,1,1,5
Mockito,26,1,1,1,1,1,1,0
