Project,Bug ID,top-1,top-5,top-inf,#P-F,#P-L,#C,#I
Chart,1,0,1,1,3,3,1,8
Chart,20,1,1,1,1,1,1,0
Chart,8,1,1,1,1,1,1,0
Chart,9,1,1,1,1,1,1,0
Chart,4,1,1,1,1,4,2,2
Chart,26,0,0,1,37,42,2,45
Chart,12,0,1,1,3,3,1,3
Chart,24,1,1,1,1,1,1,0
Chart,11,1,1,1,1,2,2,0
Math,82,0,0,1,13,13,1,18
Math,5,1,1,1,1,2,2,0
Math,75,1,1,1,1,1,1,0
Math,4,1,1,1,1,1,1,0
Math,34,1,1,1,1,1,1,0
Math,70,1,1,1,1,1,1,0
Math,89,1,1,1,1,1,1,0
Math,80,0,0,1,10,10,1,21
Math,79,1,1,1,1,1,1,5
Math,85,0,0,1,15,24,2,39
Math,30,0,1,1,3,7,3,4
Math,57,1,1,1,1,1,1,1
Math,58,1,1,1,1,1,1,1
Math,77,1,1,1,1,1,1,0
Math,50,0,0,1,10,98,4,94
Closure,126,0,1,1,5,13,3,10
Closure,62,0,1,1,4,4,1,4
Closure,10,0,1,1,2,2,1,5
Closure,73,1,1,1,1,3,3,0
Closure,70,1,1,1,1,1,1,0
Closure,46,0,1,1,5,5,1,13
Closure,86,1,1,1,1,1,1,0
Lang,6,1,1,1,1,1,1,0
Lang,47,1,1,1,1,1,1,0
Lang,26,1,1,1,1,1,1,0
Lang,59,1,1,1,1,1,1,0
Lang,57,0,1,1,5,5,1,5
Mockito,26,1,1,1,1,1,1,0
