0.0,0(0.0),1307(1.0)
0.01,0(0.0),1307(1.0)
0.02,0(0.0),1307(1.0)
0.03,0(0.0),1307(1.0)
0.04,0(0.0),1307(1.0)
0.05,0(0.0),1307(1.0)
0.06,0(0.0),1307(1.0)
0.07,0(0.0),1307(1.0)
0.08,0(0.0),1305(0.9984697781178271)
0.09,0(0.0),1305(0.9984697781178271)
0.1,1(0.0019157088122605363),1305(0.9984697781178271)
0.11,1(0.0019157088122605363),1305(0.9984697781178271)
0.12,1(0.0019157088122605363),1304(0.9977046671767407)
0.13,1(0.0019157088122605363),1302(0.9961744452945677)
0.14,4(0.007662835249042145),1302(0.9961744452945677)
0.15,5(0.009578544061302681),1302(0.9961744452945677)
0.16,8(0.01532567049808429),1302(0.9961744452945677)
0.17,12(0.022988505747126436),1302(0.9961744452945677)
0.18,16(0.03065134099616858),1300(0.9946442234123948)
0.19,18(0.034482758620689655),1299(0.9938791124713083)
0.2,19(0.03639846743295019),1298(0.9931140015302219)
0.21,20(0.038314176245210725),1296(0.991583779648049)
0.22,23(0.044061302681992334),1293(0.9892884468247896)
0.23,24(0.04597701149425287),1292(0.9885233358837031)
0.24,25(0.04789272030651341),1291(0.9877582249426167)
0.25,27(0.05172413793103448),1288(0.9854628921193573)
0.26,30(0.05747126436781609),1287(0.9846977811782709)
0.27,33(0.06321839080459771),1283(0.981637337413925)
0.28,39(0.07471264367816093),1283(0.981637337413925)
0.29,41(0.07854406130268199),1279(0.9785768936495792)
0.3,47(0.09003831417624521),1277(0.9770466717674062)
0.31,53(0.10153256704980843),1274(0.9747513389441469)
0.32,55(0.1053639846743295),1267(0.9693955623565417)
0.33,62(0.11877394636015326),1265(0.9678653404743688)
0.34,68(0.13026819923371646),1260(0.9640397857689365)
0.35000000000000003,85(0.16283524904214558),1247(0.9540933435348126)
0.36,86(0.16475095785440613),1246(0.9533282325937261)
0.37,91(0.1743295019157088),1236(0.9456771231828616)
0.38,102(0.19540229885057472),1229(0.9403213465952563)
0.39,108(0.20689655172413793),1223(0.9357306809487376)
0.4,112(0.21455938697318008),1213(0.928079571537873)
0.41000000000000003,123(0.23563218390804597),1195(0.9143075745983168)
0.42,123(0.23563218390804597),1193(0.9127773527161438)
0.43,134(0.2567049808429119),1179(0.9020657995409335)
0.44,140(0.2681992337164751),1167(0.8928844682478959)
0.45,151(0.289272030651341),1156(0.8844682478959449)
0.46,161(0.30842911877394635),1136(0.8691660290742158)
0.47000000000000003,176(0.3371647509578544),1114(0.8523335883703137)
0.48,177(0.3390804597701149),1112(0.8508033664881408)
0.49,186(0.3563218390804598),1103(0.8439173680183627)
0.5,191(0.36590038314176243),1091(0.8347360367253251)
0.51,200(0.3831417624521073),1078(0.8247895944912013)
0.52,215(0.4118773946360153),1056(0.8079571537872992)
0.53,224(0.42911877394636017),1037(0.7934200459066565)
0.54,228(0.4367816091954023),1016(0.7773527161438408)
0.55,238(0.4559386973180077),997(0.7628156082631982)
0.56,244(0.4674329501915709),980(0.7498087222647284)
0.5700000000000001,256(0.4904214559386973),955(0.730680948737567)
0.58,260(0.49808429118773945),945(0.7230298393267024)
0.59,274(0.524904214559387),928(0.7100229533282326)
0.6,280(0.5363984674329502),916(0.7008416220351951)
0.61,288(0.5517241379310345),895(0.6847742922723795)
0.62,293(0.5613026819923371),868(0.6641162968630452)
0.63,304(0.5823754789272031),854(0.6534047436878347)
0.64,314(0.6015325670498084),829(0.6342769701606733)
0.65,320(0.6130268199233716),809(0.6189747513389442)
0.66,329(0.6302681992337165),788(0.6029074215761285)
0.67,336(0.6436781609195402),763(0.5837796480489671)
0.68,343(0.657088122605364),737(0.5638867635807192)
0.6900000000000001,354(0.6781609195402298),691(0.5286916602907421)
0.7000000000000001,361(0.6915708812260536),666(0.5095638867635807)
0.71,362(0.6934865900383141),660(0.504973221117062)
0.72,369(0.7068965517241379),625(0.47819433817903595)
0.73,388(0.7432950191570882),588(0.449885233358837)
0.74,393(0.7528735632183908),543(0.41545524100994646)
0.75,401(0.7681992337164751),500(0.38255547054322875)
0.76,404(0.7739463601532567),465(0.35577658760520275)
0.77,411(0.7873563218390804),424(0.324407039020658)
0.78,417(0.7988505747126436),405(0.3098699311400153)
0.79,424(0.8122605363984674),373(0.28538638102524866)
0.8,430(0.8237547892720306),361(0.27620504973221116)
0.81,444(0.8505747126436781),334(0.25554705432287683)
0.8200000000000001,453(0.867816091954023),293(0.22417750573833206)
0.8300000000000001,460(0.8812260536398467),274(0.20964039785768937)
0.84,465(0.8908045977011494),265(0.20275439938791126)
0.85,472(0.9042145593869731),242(0.18515684774292274)
0.86,478(0.9157088122605364),225(0.17214996174445293)
0.87,482(0.9233716475095786),197(0.15072685539403213)
0.88,482(0.9233716475095786),178(0.13618974751338944)
0.89,485(0.9291187739463601),158(0.12088752869166029)
0.9,496(0.9501915708812261),127(0.0971690895179801)
0.91,502(0.9616858237547893),97(0.07421576128538639)
0.92,506(0.9693486590038314),77(0.05891354246365723)
0.93,511(0.9789272030651341),59(0.045141545524101)
0.9400000000000001,515(0.9865900383141762),37(0.028309104820198928)
0.9500000000000001,517(0.9904214559386973),31(0.023718439173680182)
0.96,517(0.9904214559386973),29(0.02218821729150727)
0.97,518(0.9923371647509579),25(0.019127773527161437)
0.98,518(0.9923371647509579),19(0.014537107880642693)
0.99,520(0.9961685823754789),15(0.011476664116296864)
