0.0,0(0.0),1307(1.0)
0.01,0(0.0),1307(1.0)
0.02,0(0.0),1307(1.0)
0.03,0(0.0),1307(1.0)
0.04,0(0.0),1307(1.0)
0.05,0(0.0),1307(1.0)
0.06,0(0.0),1307(1.0)
0.07,0(0.0),1307(1.0)
0.08,0(0.0),1307(1.0)
0.09,1(0.0019157088122605363),1307(1.0)
0.1,2(0.0038314176245210726),1307(1.0)
0.11,7(0.013409961685823755),1307(1.0)
0.12,8(0.01532567049808429),1307(1.0)
0.13,10(0.019157088122605363),1306(0.9992348890589136)
0.14,11(0.0210727969348659),1306(0.9992348890589136)
0.15,12(0.022988505747126436),1306(0.9992348890589136)
0.16,15(0.028735632183908046),1306(0.9992348890589136)
0.17,19(0.03639846743295019),1306(0.9992348890589136)
0.18,22(0.0421455938697318),1305(0.9984697781178271)
0.19,25(0.04789272030651341),1304(0.9977046671767407)
0.2,27(0.05172413793103448),1303(0.9969395562356542)
0.21,31(0.05938697318007663),1303(0.9969395562356542)
0.22,35(0.06704980842911877),1301(0.9954093343534812)
0.23,38(0.07279693486590039),1300(0.9946442234123948)
0.24,42(0.08045977011494253),1298(0.9931140015302219)
0.25,46(0.08812260536398467),1298(0.9931140015302219)
0.26,52(0.09961685823754789),1298(0.9931140015302219)
0.27,58(0.1111111111111111),1294(0.990053557765876)
0.28,60(0.11494252873563218),1291(0.9877582249426167)
0.29,67(0.12835249042145594),1289(0.9862280030604438)
0.3,72(0.13793103448275862),1284(0.9824024483550114)
0.31,76(0.14559386973180077),1280(0.9793420045906657)
0.32,83(0.15900383141762453),1275(0.9755164498852333)
0.33,88(0.1685823754789272),1269(0.9709257842387146)
0.34,97(0.18582375478927204),1266(0.9686304514154552)
0.35000000000000003,113(0.2164750957854406),1255(0.9602142310635042)
0.36,113(0.2164750957854406),1255(0.9602142310635042)
0.37,118(0.2260536398467433),1247(0.9540933435348126)
0.38,122(0.23371647509578544),1241(0.9495026778882938)
0.39,129(0.2471264367816092),1237(0.946442234123948)
0.4,136(0.26053639846743293),1230(0.9410864575363428)
0.41000000000000003,153(0.29310344827586204),1218(0.9319051262433052)
0.42,154(0.2950191570881226),1213(0.928079571537873)
0.43,162(0.3103448275862069),1205(0.9219586840091814)
0.44,171(0.3275862068965517),1198(0.9166029074215761)
0.45,181(0.34674329501915707),1185(0.9066564651874521)
0.46,189(0.3620689655172414),1176(0.899770466717674)
0.47000000000000003,198(0.3793103448275862),1160(0.8875286916602907)
0.48,202(0.38697318007662834),1158(0.8859984697781178)
0.49,208(0.39846743295019155),1141(0.872991583779648)
0.5,214(0.4099616858237548),1122(0.8584544758990054)
0.51,220(0.421455938697318),1103(0.8439173680183627)
0.52,232(0.4444444444444444),1087(0.8316755929609794)
0.53,239(0.4578544061302682),1075(0.8224942616679418)
0.54,247(0.4731800766283525),1058(0.809487375669472)
0.55,261(0.5),1036(0.79265493496557)
0.56,270(0.5172413793103449),1005(0.7689364957918898)
0.5700000000000001,287(0.5498084291187739),974(0.7452180566182096)
0.58,287(0.5498084291187739),972(0.7436878347360367)
0.59,292(0.5593869731800766),946(0.7237949502677888)
0.6,304(0.5823754789272031),927(0.7092578423871462)
0.61,310(0.5938697318007663),895(0.6847742922723795)
0.62,314(0.6015325670498084),876(0.6702371843917369)
0.63,317(0.60727969348659),843(0.6449885233358837)
0.64,330(0.632183908045977),818(0.6258607498087223)
0.65,343(0.657088122605364),781(0.5975516449885233)
0.66,349(0.6685823754789272),747(0.5715378729915838)
0.67,353(0.6762452107279694),707(0.5409334353481254)
0.68,359(0.6877394636015326),680(0.5202754399387911)
0.6900000000000001,371(0.710727969348659),618(0.4728385615914308)
0.7000000000000001,378(0.7241379310344828),590(0.45141545524100996)
0.71,380(0.7279693486590039),584(0.4468247895944912)
0.72,387(0.7413793103448276),558(0.4269319051262433)
0.73,398(0.7624521072796935),531(0.40627390971690897)
0.74,403(0.7720306513409961),508(0.3886763580719204)
0.75,411(0.7873563218390804),476(0.3641928079571538)
0.76,415(0.7950191570881227),445(0.3404743687834736)
0.77,423(0.8103448275862069),413(0.315990818668707)
0.78,429(0.8218390804597702),379(0.2899770466717674)
0.79,436(0.8352490421455939),353(0.2700841622035195)
0.8,441(0.8448275862068966),322(0.24636572302983933)
0.81,446(0.8544061302681992),278(0.2127008416220352)
0.8200000000000001,457(0.8754789272030651),230(0.17597551644988524)
0.8300000000000001,466(0.89272030651341),204(0.15608263198163733)
0.84,466(0.89272030651341),198(0.1514919663351186)
0.85,471(0.9022988505747126),167(0.12777352716143842)
0.86,478(0.9157088122605364),148(0.11323641928079571)
0.87,482(0.9233716475095786),124(0.09487375669472073)
0.88,488(0.9348659003831418),104(0.07957153787299158)
0.89,493(0.9444444444444444),92(0.0703902065799541)
0.9,497(0.9521072796934866),80(0.061208875286916604)
0.91,501(0.9597701149425287),65(0.04973221117061974)
0.92,504(0.9655172413793104),48(0.036725325172149964)
0.93,508(0.9731800766283525),38(0.029074215761285386)
0.9400000000000001,515(0.9865900383141762),19(0.014537107880642693)
0.9500000000000001,517(0.9904214559386973),12(0.009181331293037491)
0.96,517(0.9904214559386973),11(0.008416220351951033)
0.97,519(0.9942528735632183),5(0.0038255547054322878)
0.98,521(0.9980842911877394),2(0.001530221882172915)
0.99,521(0.9980842911877394),0(0.0)
